id_mp,sex,name
404,1,Помазанов Андрій Віталійович
405,2,Пташник Вікторія Юріївна
406,1,Рибалка Сергій Вікторович
408,1,Савченко Олексій Юрійович
409,1,Савчук Юрій Петрович
410,1,Сажко Сергій Миколайович
411,1,Сидорович Руслан Михайлович
412,1,Сольвар Руслан Миколайович
413,2,Сюмар Вікторія Петрівна
414,2,Тимошенко Юлія Володимирівна
415,1,Томенко Микола Володимирович
416,1,Фаєрмарк Сергій Олександрович
417,1,Фельдман Олександр Борисович
418,1,Філатов Борис Альбертович
419,1,Фірсов Єгор Павлович
420,1,Фурсін Іван Геннадійович
421,1,Шуфрич Нестор Іванович
422,2,Южаніна Ніна Петрівна
423,2,Юринець Оксана Василівна
424,2,Матіос Марія Василівна
425,1,Рудик Сергій Ярославович
426,1,Барна Степан Степанович
427,1,Побер Ігор Миколайович
428,1,Куніцин Сергій Володимирович
429,2,Кондратюк Олена Костянтинівна
430,1,Макар'ян Давид Борисович
431,1,Чижмарь Юрій Васильович
432,1,Стеценко Дмитро Олександрович
433,1,Драюк Сергій Євсейович
434,1,Дроздик Олександр Валерійович
435,1,Романовський Олександр Володимирович
436,1,Ревега Олександр Васильович
437,1,Бабій Юрій Юрійович
438,1,Лесюк Ярослав Васильович
439,2,Луценко Ірина Степанівна
441,2,Огнєвіч Злата Леонідівна
442,1,Чубаров Рефат Абдурахманович
443,1,Немировський Андрій Валентинович
444,1,Зубач Любомир Львович
445,1,Дубіль Валерій Олександрович
446,1,Березенко Сергій Іванович
447,1,Шверк Григорій Аронович
452,1,Севрюков Владислав Володимирович
453,1,Підберезняк Вадим Іванович
454,2,Юзькова Тетяна Леонідівна
463,1,Бригинець Олександр Михайлович
464,1,Білоцерковець Дмитро Олександрович
465,1,Карпунцов Валерій Віталійович
466,1,Велікін Олег Маркович
467,1,Саврасов Максим Віталійович
468,1,Єдаков Ярослав Юрійович
469,1,Мепарішвілі Хвича Нодарович
470,2,Білозір Оксана Володимирівна
471,2,Констанкевич Ірина Мирославівна
472,1,Шевченко Віктор Леонідович
473,1,Одарченко Юрій Віталійович
474,2,Ричкова Тетяна Борисівна
475,1,Шахов Сергій Володимирович
477,1,Богдан Руслан Дмитрович
478,1,Микитась Максим Вікторович
479,1,Данілін Владислав Юрійович
480,1,Бендюженко Федір Володимирович
481,1,Буглак Юрій Олександрович
482,2,Заружко Валерія Леонідівна
483,1,Побочіх Михайло Олександрович
484,1,Зварич Роман Михайлович
485,1,Гулак Олександр Миколайович
486,1,Савка Іван Іванович
487,1,Куренной Володимир Костянтинович
